Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
ko00280,-0.3374236255874571,-2.0299139542600795,0.0,0.0,70,44,K01849;K01848;K01825;K01782;K00187;K09699;K00263;K15036;K01966;K01027;K01847;K05606;K00188;K00166;K00186;K00626;K07250;K00020;K00167;K11381;K01968;K00248;K01965;K00253;K07511;K01028;K01029;K00826;K01969;K01640;K00632;K00128;K00382;K01907;K07513;K01641;K01692;K00140;K18661;K19312;K11410;K00249;K11263;K00822,K01640;K00632;K00128;K00382;K01907;K07513;K01641;K01692;K00140;K18661;K19312;K11410;K00249;K11263;K00822
ko00572,-0.869269561076523,-2.431793972985734,0.0,0.0,12,9,K16647;K16870;K22902;K16648;K02851;K13687;K13686;K16649;K16650,K22902;K16648;K02851;K13687;K13686;K16649;K16650
ko04260,-0.7981888745148872,-2.1928851073341593,0.0,0.0,67,5,K02256;K05853;K01539;K00412;K00413,K02256;K05853;K01539;K00412;K00413
ko05146,-0.7676762694819927,-1.8741707366105982,0.0,0.0,87,5,K01476;K04345;K13963;K04072;K06237,K13963;K04072;K06237
ko00311,-0.8093161548189192,-1.6911321858585793,0.0,0.05777696258253851,16,5,K17836;K19200;K01060;K01434;K04127,K01434;K04127
ko04974,-0.7895143758763041,-1.7973308243937742,0.0,0.06162876008804109,66,5,K01278;K16628;K01539;K19721;K06237,K01539;K19721;K06237
ko05200,-0.5687993330468591,-1.7319890000593998,0.0,0.06603081438004402,417,10,K00799;K04079;K09487;K08736;K04345;K01679;K08735;K08734;K00355;K06237,K08735;K08734;K00355;K06237
ko01040,-0.7917324287963291,-1.7351049033647699,0.0,0.07703595011005136,32,5,K10806;K10804;K07513;K10251;K10805,K10804;K07513;K10251;K10805
ko04390,-0.9794764059469908,-1.6773211567732114,0.0,0.08559550012227929,115,1,K05692,K05692
ko05034,-0.7346048165509022,-1.6276018510769836,0.0,0.11205229106916562,86,2,K04345;K00274,K04345;K00274
ko04111,-0.8340616347880347,-1.6308282070213211,0.0,0.12325752017608219,126,3,K06675;K02540;K06667,K02540;K06667
ko05012,-0.453639871158212,-1.5815245618637248,0.0,0.15407190022010273,194,15,K08852;K03942;K00234;K09490;K03671;K02132;K02133;K04345;K02977;K02256;K02927;K00412;K00413;K00274;K08770,K02927;K00412;K00413;K00274;K08770
ko00860,-0.3590106666369339,-1.5529389880185944,0.0,0.19809244314013205,132,66,K02257;K03405;K21480;K00230;K10960;K03428;K04037;K00228;K02304;K01749;K03394;K02495;K21610;K02233;K06042;K02190;K02224;K00798;K13542;K03594;K00595;K05934;K00768;K00589;K02232;K02492;K05936;K02189;K02230;K01719;K02188;K05895;K02227;K02302;K03404;K02231;K00231;K04720;K01698;K19221;K02226;K02496;K01845;K13540;K13541;K02303;K01599;K04032;K22227;K01195;K01885;K03403;K22226;K01772;K22552;K09882;K04034;K16651;K02191;K02259;K22336;K21479;K00435;K03399;K02225;K13543,K02259;K22336;K21479;K00435;K03399;K02225;K13543
ko04972,-0.8554801163919272,-1.5618973424770286,0.25,0.20147863874936509,69,3,K05853;K01539;K01176,K05853;K01539;K01176
ko00627,-0.44844262043813754,-1.5202750198876342,0.0,0.20542920029347028,81,22,K21759;K01612;K14333;K01576;K03380;K01101;K09461;K19709;K01035;K22958;K03186;K07511;K01426;K01034;K01512;K01692;K01501;K04107;K20712;K08295;K22959;K22960,K01692;K01501;K04107;K20712;K08295;K22959;K22960
ko05412,-0.8553418458058099,-1.436001666566461,0.0,0.21333032338168068,68,2,K05853;K05692,K05853;K05692
ko01054,-0.6140863183468542,-1.4141468087277986,0.0,0.2157006603081438,54,21,K15661;K15668;K15663;K16123;K15656;K16124;K15654;K15662;K15664;K16119;K16131;K16120;K01779;K16132;K15667;K15666;K16095;K15665;K15655;K16093;K16097,K16124;K15654;K15662;K15664;K16119;K16131;K16120;K01779;K16132;K15667;K15666;K16095;K15665;K15655;K16093;K16097
ko00591,-0.9164104665901011,-1.4378239789823095,0.0,0.2218635363169479,25,2,K01058;K00508,K00508
ko04971,-0.7620719615104118,-1.4213268987084355,0.25,0.22254830031792616,50,3,K04345;K01539;K05692,K01539;K05692
ko04520,-0.9096224966205844,-1.4152182396151813,0.0,0.22313861411187288,63,2,K14394;K05692,K05692
ko04973,-0.8366575117735058,-1.4166367770432724,0.16666666666666666,0.2256052824651504,22,3,K00844;K01539;K01176,K01539;K01176
ko05210,-0.8145144598354445,-1.4414851000969318,0.2,0.23110785033015407,72,3,K08736;K08735;K08734,K08735;K08734
ko04810,-0.9794764059469908,-1.4572046802372174,0.0,0.23881144534115922,163,1,K05692,K05692
ko03320,-0.61743789214413,-1.4485545920754355,0.0,0.24115601773581294,63,9,K06276;K00029;K00864;K07513;K01641;K01897;K01596;K00249;K08770,K07513;K01641;K01897;K01596;K00249;K08770
ko05414,-0.7492064877032159,-1.4734360611960946,0.0,0.2432714214001622,87,3,K04345;K05853;K05692,K05853;K05692
ko00642,-0.8396897220426603,-1.3904201230933904,0.0,0.24394717534849594,16,1,K00632,K00632
ko00970,-0.4450786140848514,-1.3857673145690814,0.0,0.2456822192698935,66,35,K09759;K09698;K03330;K01886;K09482;K01893;K01872;K01042;K01867;K01878;K01869;K01876;K00604;K01868;K01892;K01866;K01870;K01879;K01887;K01881;K02434;K01883;K04567;K01875;K01889;K01873;K01885;K01874;K01890;K01880;K04566;K02433;K02435;K22503;K14164,K01867;K01878;K01869;K01876;K00604;K01868;K01892;K01866;K01870;K01879;K01887;K01881;K02434;K01883;K04567;K01875;K01889;K01873;K01885;K01874;K01890;K01880;K04566;K02433;K02435;K22503;K14164
ko05164,-0.8305225633270059,-1.397538452042951,0.3333333333333333,0.24651504035216434,128,2,K09523;K05692,K05692
ko04977,-0.8770200387847417,-1.4046242774566473,0.0,0.24744880944440742,23,1,K05665,K05665
ko05416,-0.9794764059469908,-1.3999307079339416,0.0,0.24923395623840142,39,1,K05692,K05692
ko05167,-0.7675396055609944,-1.4537104530576612,0.0,0.2494497432134996,169,3,K02977;K02927;K08770,K02977;K02927;K08770
ko04391,-0.9794764059469908,-1.4071623425619595,0.0,0.2503668378576669,53,1,K05692,K05692
ko04978,-0.7998706757194256,-1.4891315767175488,0.2222222222222222,0.2503668378576669,36,3,K07213;K01539;K17686,K07213;K01539;K17686
ko05410,-0.8553418458058099,-1.3807740846320973,0.14285714285714285,0.2513804687801676,79,2,K05853;K05692,K05853;K05692
ko04964,-0.7609536009538264,-1.4491700267967633,0.0,0.2521176549056226,14,4,K01425;K01539;K01596;K00261,K01539;K01596;K00261
ko00450,-0.44595892503478274,-1.4818282320518028,0.0,0.2537654827154633,33,22,K12529;K07310;K00958;K07309;K00957;K00956;K00548;K01008;K12527;K14155;K01042;K00955;K01874;K01761;K00384;K01758;K11717;K00549;K01739;K12528;K01760;K17050,K01758;K11717;K00549;K01739;K12528;K01760;K17050
ko04934,-0.7346048165509022,-1.4741042564673823,0.0,0.25678650036683787,122,2,K04345;K01679,K04345;K01679
ko04113,-0.7605734497237944,-1.4074848205857726,0.0,0.2584431874659788,103,4,K01768;K04345;K02540;K08139,K02540;K08139
ko05165,-0.6930232160066667,-1.3687530185886625,0.0,0.2668074369665193,231,5,K02145;K02147;K00873;K04345;K06237,K06237
ko05230,-0.4852954898309864,-1.369828257015739,0.25,0.27347762289068234,49,10,K01425;K00850;K00844;K00036;K00873;K00031;K00161;K00162;K00016;K01834,K00036;K00873;K00031;K00161;K00162;K00016;K01834
ko04613,-0.9794764059469908,-1.3711783336565186,0.0,0.2765393080873638,90,1,K05692,K05692
